no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,Poisson,13460.487,27406.974,27920.324,28418.659,0.802093293,0.001,0.378087046,0.001,1.019449857,0.001,1.745171067,0.001,1.231634669,0.001
2,Poisson+I,13460.487,27408.974,27928.800,28424.823,0.717484414,0.001,0.332861692,0.001,0.999985433,0.001,1.087393624,0.001,0.688522044,0.001
3,Poisson+G4,13460.558,27409.115,27928.942,28424.964,0.839890631,0.001,0.58775248,0.001,1.004002458,0.001,0.22252642,0.001,0.988699362,0.001
4,Poisson+R2,13460.504,27411.008,27937.384,28431.020,0.904703403,0.001,0.522062473,0.001,1.002050269,0.001,3.823376792,0.001,2.86632984,0.001
5,Poisson+I+G4,13460.593,27411.185,27937.561,28431.197,0.826537197,0.001,0.318486653,0.001,1.013020442,0.001,1.318610881,0.001,1.204868486,0.001
6,Poisson+R3,13460.494,27414.988,27954.688,28443.327,0.53897981,0.001,0.238630047,0.002,1.003992789,0.001,0.094843224,0.001,0.340207137,0.001
7,Poisson+F,13481.419,27486.838,28136.894,28577.626,0.847183385,0.001,0.219889831,0.017,1.019397959,0.001,4.904464449,0.001,1.890738725,0.001
8,Poisson+F+I,13481.419,27488.838,28146.961,28583.790,0.79914455,0.001,0.555603165,0.001,1.003346086,0.001,0.247861886,0.001,1.190472139,0.001
9,Poisson+F+G4,13481.487,27488.974,28147.097,28583.926,0.524601176,0.001,0.32763732,0.001,1.005161968,0.001,0.071601777,0.001,0.34445195,0.001
10,Poisson+F+R2,13481.438,27490.875,28157.161,28589.990,0.808751756,0.001,0.556188638,0.001,1.00700484,0.001,0.240707661,0.001,1.08685003,0.001
11,Poisson+F+I+G4,13481.514,27491.029,28157.315,28590.144,0.801291448,0.001,0.511670247,0.001,1.003976052,0.001,0.247262268,0.001,1.029659104,0.001
12,Poisson+F+R3,13481.427,27494.854,28177.758,28602.296,0.783458802,0.001,0.339918846,0.001,1.016225974,0.001,0.42198374,0.001,0.757332537,0.001
13,PMB+F,13981.160,28486.319,29136.376,29577.108,0.658106138,0.001,0.277516457,0.001,1.016422743,0.001,0.333155859,0.001,0.765511048,0.001
14,PMB+F+G4,13979.600,28485.200,29143.323,29580.152,0.778508824,0.001,0.454833207,0.001,0.999993109,0.001,0.264155249,0.001,0.808143398,0.001
15,PMB+F+I,13980.154,28486.309,29144.432,29581.261,0.836841815,0.001,0.450467357,0.001,0.999989864,0.001,1.794703741,0.001,1.619632382,0.001
16,PMB+F+R2,13979.196,28486.391,29152.677,29585.506,0.855250322,0.001,0.230876009,0.014,0.999997264,0.001,3.513805487,0.001,1.549991754,0.001
17,PMB+F+I+G4,13979.300,28486.601,29152.886,29585.716,0.62041728,0.001,0.290746298,0.001,1.016053206,0.001,0.522596941,0.001,0.378080007,0.001
18,PMB+F+R3,13979.018,28490.036,29172.940,29597.478,0.595881714,0.001,0.414113393,0.001,1.000018872,0.001,0.0807853,0.001,0.405621677,0.001
19,Blosum62+F,14057.292,28638.584,29288.640,29729.372,0.843138804,0.001,0.346764978,0.001,1.005233323,0.001,3.790447318,0.001,1.979579389,0.001
20,Blosum62+F+G4,14054.246,28634.491,29292.614,29729.443,0.69378704,0.001,0.312065835,0.001,1.008132923,0.001,0.458067358,0.001,0.627973416,0.001
21,Blosum62+F+I,14055.269,28636.538,29294.661,29731.489,0.663795823,0.001,0.260626776,0.002,1.00806056,0.001,1.286499432,0.001,0.658080793,0.001
22,Blosum62+F+I+G4,14053.607,28635.214,29301.500,29734.329,0.879850867,0.001,0.271507913,0.006,0.999995312,0.001,5.52724379,0.001,2.89655911,0.001
23,Blosum62+F+R2,14054.627,28637.254,29303.540,29736.369,0.851478741,0.001,0.467424233,0.001,1.003791855,0.001,1.575920593,0.001,1.384091619,0.001
24,Blosum62+F+R3,14054.175,28640.351,29323.255,29747.793,0.721754751,0.001,0.3591724,0.001,1.004966361,0.001,0.244130472,0.001,0.672411955,0.001
25,VT+F,14123.118,28770.236,29420.292,29861.024,0.758564086,0.001,0.422004527,0.001,0.999969198,0.001,0.571168052,0.001,0.636941362,0.001
26,VT+F+G4,14121.885,28769.769,29427.892,29864.721,0.631147439,0.001,0.251109787,0.002,1.002017593,0.001,0.336456282,0.001,0.502339052,0.001
27,VT+F+I,14122.317,28770.633,29428.756,29865.585,0.766441139,0.001,0.408915361,0.001,1.002033037,0.001,0.578273067,0.001,0.775462499,0.001
28,VT+F+I+G4,14121.650,28771.300,29437.585,29870.415,0.758730599,0.001,0.220915626,0.004,1.002653046,0.001,0.950044447,0.001,0.692718358,0.001
29,VT+F+R2,14121.707,28771.414,29437.699,29870.529,0.772586278,0.001,0.312554355,0.001,1.002733461,0.001,4.466387739,0.001,1.81966397,0.001
30,VT+F+R3,14121.728,28775.455,29458.359,29882.897,0.698821702,0.001,0.353670485,0.001,1.005201245,0.001,0.150733314,0.001,0.590678563,0.001
31,PMB,14220.169,28926.339,29439.690,29938.024,0.659910585,0.001,0.556010508,0.001,1.001830141,0.001,0.345436347,0.001,0.565700495,0.001
32,PMB+G4,14217.894,28923.787,29443.613,29939.636,0.811271966,0.001,0.587911548,0.001,1.008608913,0.001,0.434056949,0.001,1.25366472,0.001
33,PMB+I,14219.413,28926.826,29446.652,29942.675,0.688110943,0.001,0.504536307,0.001,1.017106674,0.001,0.135689823,0.001,0.578757836,0.001
34,PMB+R2,14217.172,28924.344,29450.720,29944.357,0.50511304,0.001,0.497952029,0.001,1.006549598,0.001,0.109667377,0.001,0.459657629,0.001
35,PMB+I+G4,14217.804,28925.608,29451.983,29945.620,0.779179056,0.001,0.446978634,0.001,1.004448134,0.001,0.252632979,0.001,1.054677071,0.001
36,PMB+R3,14217.115,28928.230,29467.931,29956.569,0.718935663,0.001,0.603052833,0.001,1.024642021,0.001,0.104253835,0.001,0.52483795,0.001
37,Blosum62+G4,14318.224,29124.448,29644.274,30140.297,0.627064066,0.001,0.492521532,0.001,1.006914881,0.001,0.361552441,0.001,0.715231353,0.001
38,Blosum62,14322.309,29130.617,29643.968,30142.303,0.763248586,0.001,0.287859553,0.001,1.001633994,0.001,1.044783738,0.001,0.7776663,0.001
39,Blosum62+I,14320.886,29129.772,29649.598,30145.621,0.8347352,0.001,0.568645256,0.001,1.006959598,0.001,0.554473896,0.001,1.26125994,0.001
40,Blosum62+I+G4,14318.014,29126.028,29652.404,30146.041,0.799432613,0.001,0.316425298,0.001,1.004910655,0.001,0.211881118,0.001,0.799527772,0.001
41,Blosum62+R2,14318.908,29127.816,29654.191,30147.828,0.724234951,0.001,0.513027984,0.001,0.999986446,0.001,0.437157863,0.001,0.698680092,0.001
42,Blosum62+R3,14317.824,29129.647,29669.348,30157.986,0.699244961,0.001,0.476185338,0.001,1.001902657,0.001,0.367483175,0.001,0.635608113,0.001
43,VT,14438.632,29363.263,29876.614,30374.949,0.590875045,0.001,0.393887277,0.001,1.015992307,0.001,0.434766046,0.001,0.593398752,0.001
44,VT+G4,14437.260,29362.520,29882.346,30378.369,0.718478847,0.001,0.420022303,0.001,1.000004965,0.001,0.247471669,0.001,0.448850645,0.001
45,VT+I,14437.814,29363.628,29883.454,30379.477,0.663942,0.001,0.445788929,0.001,1.001764129,0.001,0.246101602,0.001,0.568278322,0.001
46,VT+R2,14436.809,29363.618,29889.994,30383.630,0.604584981,0.001,0.300237816,0.001,1.007104566,0.001,0.079102094,0.001,0.403297337,0.001
47,VT+I+G4,14437.050,29364.100,29890.476,30384.112,0.66300486,0.001,0.318742819,0.001,0.999998575,0.001,1.29868011,0.001,0.649340205,0.001
48,VT+R3,14436.725,29367.451,29907.151,30395.790,0.760229054,0.001,0.313480553,0.001,1.001770863,0.001,0.763933823,0.001,0.590907144,0.001
49,WAG+F+G4,14485.334,29496.668,30154.791,30591.619,0.556166726,0.001,0.403588911,0.001,1.005476788,0.001,0.078188707,0.001,0.327100466,0.001
50,WAG+F+R2,14484.618,29497.235,30163.521,30596.350,0.619108892,0.001,0.32529123,0.001,1.014120495,0.001,0.103158489,0.001,0.490059997,0.001
51,WAG+F+I+G4,14485.049,29498.099,30164.384,30597.214,0.711061873,0.001,0.472741697,0.001,0.999987145,0.001,0.3355125,0.001,0.906409594,0.001
52,WAG+F,14492.406,29508.813,30158.869,30599.601,0.747532223,0.001,0.505300228,0.001,1.000041729,0.001,0.301019358,0.001,0.789621215,0.001
53,WAG+F+I,14490.248,29506.497,30164.620,30601.448,0.771058102,0.001,0.231712687,0.016,1.019046329,0.001,3.797459983,0.001,1.440587436,0.001
54,WAG+F+R3,14484.594,29501.187,30184.091,30608.629,0.52123857,0.001,0.394289798,0.001,0.99999127,0.001,0.078136951,0.001,0.375887573,0.001
55,JTT+F+G4,14709.856,29945.713,30603.836,31040.665,0.79336438,0.001,0.472290804,0.001,1.001715257,0.001,0.230039359,0.001,0.982543302,0.001
56,JTT+F+R2,14709.720,29947.440,30613.726,31046.555,0.870788183,0.001,0.595820034,0.001,1.005748089,0.001,0.595936847,0.001,2.115056262,0.001
57,JTT+F+I+G4,14709.861,29947.722,30614.008,31046.838,0.808750438,0.001,0.381766049,0.001,1.011919995,0.001,0.971599911,0.001,0.850836079,0.001
58,JTT+F,14716.230,29956.460,30606.517,31047.249,0.822518511,0.001,0.214803149,0.015,1.017373352,0.001,2.623586489,0.001,1.106036244,0.001
59,JTTDCMut+F+G4,14715.127,29956.253,30614.376,31051.205,0.802611404,0.001,0.54136069,0.001,1.003197102,0.001,0.491926495,0.001,1.14256688,0.001
60,JTT+F+I,14715.279,29956.558,30614.681,31051.509,0.726884243,0.001,0.574497152,0.001,1.003253933,0.001,0.212157618,0.001,0.899265023,0.001
61,JTTDCMut+F+R2,14714.811,29957.623,30623.909,31056.738,0.780299914,0.001,0.549195212,0.001,1.001428908,0.001,0.371440179,0.001,0.908316803,0.001
62,JTTDCMut+F+I+G4,14715.141,29958.281,30624.567,31057.397,0.798323174,0.001,0.354834479,0.001,1.025272443,0.001,0.977639943,0.001,0.953800437,0.001
63,WAG+G4,14777.212,30042.425,30562.251,31058.274,0.556772264,0.001,0.302751974,0.001,1.016835155,0.001,0.290874069,0.001,0.372297587,0.001
64,JTT+F+R3,14709.548,29951.096,30634.000,31058.538,0.645807157,0.001,0.421221729,0.001,1.017443747,0.001,0.12951684,0.001,0.669705169,0.001
65,JTTDCMut+F,14722.042,29968.084,30618.141,31058.873,0.708451928,0.001,0.237687278,0.007,1.006977086,0.001,1.405362697,0.001,0.796356293,0.001
66,WAG+R2,14776.077,30042.153,30568.529,31062.165,0.686333999,0.001,0.475215228,0.001,1.006495299,0.001,0.128945298,0.001,0.650179697,0.001
67,JTTDCMut+F+I,14721.106,29968.211,30626.334,31063.163,0.696424998,0.001,0.385495532,0.001,1.001084183,0.001,0.313240944,0.001,0.5606653,0.001
68,WAG+I+G4,14776.957,30043.913,30570.289,31063.926,0.760369123,0.001,0.409149741,0.001,1.004710599,0.001,0.59700433,0.001,0.679952865,0.001
69,WAG,14785.294,30056.587,30569.938,31068.273,0.846709651,0.001,0.283892958,0.007,1.000016669,0.001,2.469588109,0.001,1.280523084,0.001
70,JTTDCMut+F+R3,14714.618,29961.237,30644.141,31068.679,0.598894084,0.001,0.294529613,0.001,1.008250375,0.001,0.194672555,0.001,0.375596872,0.001
71,WAG+I,14782.964,30053.929,30573.755,31069.777,0.813694766,0.001,0.56997349,0.001,1.018720549,0.001,0.800050809,0.001,1.326035193,0.001
72,WAG+R3,14776.080,30046.160,30585.861,31074.499,0.848269504,0.001,0.257650675,0.004,0.999987963,0.001,6.536482078,0.001,2.544113166,0.001
73,cpREV+F+G4,14789.325,30104.650,30762.773,31199.602,0.656186663,0.001,0.454582317,0.001,1.000389239,0.001,0.106555726,0.001,0.509792787,0.001
74,cpREV+F+I+G4,14789.213,30106.425,30772.711,31205.541,0.693021665,0.001,0.521415568,0.001,1.006161378,0.001,0.100131796,0.001,0.476568443,0.001
75,cpREV+F+R2,14790.137,30108.274,30774.560,31207.389,0.471502955,0.001,0.255876841,0.001,1.020287079,0.001,0.063016315,0.001,0.339361603,0.001
76,cpREV+F+R3,14788.373,30108.746,30791.650,31216.188,0.69766127,0.001,0.373817388,0.001,1.003181937,0.001,0.334284301,0.001,0.661859451,0.001
77,cpREV+F+I,14811.521,30149.041,30807.164,31243.993,0.778638902,0.001,0.251961863,0.009,1.004762716,0.001,2.946439901,0.001,1.201629133,0.001
78,cpREV+F,14815.399,30154.798,30804.855,31245.587,0.829433103,0.001,0.36906234,0.001,1.001829796,0.001,1.277493125,0.001,1.283379815,0.001
79,JTT+G4,14975.990,30439.980,30959.806,31455.829,0.604231193,0.001,0.188460057,0.004,1.003360266,0.001,0.519133528,0.001,0.511903185,0.001
80,JTTDCMut+G4,14977.015,30442.030,30961.856,31457.879,0.732069019,0.001,0.347025669,0.001,1.001135482,0.001,0.375527405,0.001,0.523736602,0.001
81,JTT+R2,14974.933,30439.867,30966.242,31459.879,0.542172609,0.001,0.386265716,0.001,1.004513774,0.001,0.101019507,0.001,0.413222242,0.001
82,JTTDCMut+R2,14975.784,30441.569,30967.944,31461.581,0.857372761,0.001,0.414263049,0.001,1.023634373,0.001,2.452776386,0.001,2.144387958,0.001
83,JTT+I+G4,14975.933,30441.867,30968.242,31461.879,0.741693414,0.001,0.497362396,0.001,1.003257201,0.001,0.384910514,0.001,0.861835095,0.001
84,JTT,14982.816,30451.631,30964.982,31463.317,0.854776709,0.001,0.30464129,0.004,0.999988767,0.001,2.589252957,0.001,1.288737783,0.001
85,JTTDCMut+I+G4,14976.973,30443.947,30970.322,31463.959,0.82315936,0.001,0.434911493,0.001,1.000023647,0.001,0.825387189,0.001,1.106848708,0.001
86,JTTDCMut,14984.358,30454.716,30968.067,31466.402,0.735481127,0.001,0.390033352,0.001,1.025240528,0.001,0.886953483,0.001,0.905028854,0.001
87,JTT+I,14981.473,30450.946,30970.772,31466.795,0.53909505,0.001,0.326532094,0.001,1.003256019,0.001,0.223330603,0.001,0.365576265,0.001
88,JTTDCMut+I,14983.010,30454.021,30973.847,31469.869,0.828735246,0.001,0.519245593,0.001,1.024670256,0.001,0.459230311,0.001,1.435293248,0.001
89,JTT+R3,14974.946,30443.891,30983.592,31472.230,0.553854623,0.001,0.312187983,0.001,1.000005177,0.001,0.334164379,0.001,0.421343444,0.001
90,JTTDCMut+R3,14975.772,30445.545,30985.245,31473.883,0.747955352,0.001,0.455061815,0.001,0.999991453,0.001,0.317616194,0.001,0.791957637,0.001
91,cpREV+G4,15121.160,30730.321,31250.147,31746.169,0.730039604,0.001,0.466863233,0.001,1.025842499,0.001,0.145911736,0.001,0.754132424,0.001
92,cpREV+I+G4,15120.858,30731.716,31258.091,31751.728,0.614960448,0.001,0.371945879,0.001,1.012266636,0.001,0.638795939,0.001,0.470616614,0.001
93,cpREV+R2,15120.933,30731.866,31258.242,31751.878,0.780937385,0.001,0.497786689,0.001,1.000015955,0.001,0.264425303,0.001,0.879930343,0.001
94,cpREV+R3,15119.355,30732.711,31272.411,31761.049,0.810128019,0.001,0.462375384,0.001,1.005453861,0.001,0.16984151,0.001,0.913844014,0.001
95,cpREV+I,15141.291,30770.583,31290.409,31786.432,0.747043995,0.001,0.455436115,0.001,0.99999585,0.001,0.436048085,0.001,0.590975836,0.001
96,cpREV,15145.759,30777.519,31290.869,31789.204,0.827554808,0.001,0.406969736,0.001,1.004475986,0.001,1.567377832,0.001,1.308516896,0.001
97,Dayhoff+F+R3,15380.221,31292.441,31975.345,32399.883,0.749954969,0.001,0.435538733,0.001,1.004440034,0.001,1.197600308,0.001,0.873131032,0.001
98,Dayhoff+F+G4,15392.164,31310.327,31968.450,32405.279,0.857401722,0.001,0.581866519,0.001,0.999995821,0.001,0.716967395,0.001,1.465024437,0.001
99,Dayhoff+F+R2,15391.523,31311.045,31977.331,32410.160,0.510236509,0.001,0.206217899,0.005,1.029172588,0.001,1.083626541,0.001,0.762503535,0.001
100,DCMut+F+R3,15385.825,31303.649,31986.553,32411.091,0.744638627,0.001,0.489404464,0.001,1.018768361,0.001,0.449893039,0.001,0.800041375,0.001
101,Dayhoff+F+I+G4,15392.153,31312.306,31978.592,32411.421,0.837751283,0.001,0.444218047,0.001,1.012765628,0.001,1.553441253,0.001,1.450203105,0.001
102,Dayhoff+F+R4,15379.878,31295.756,31995.678,32411.524,0.855785797,0.001,0.588355122,0.001,1.018264641,0.001,0.418621123,0.001,1.169620075,0.001
103,DCMut+F+G4,15397.255,31320.511,31978.634,32415.462,0.823058671,0.001,0.570041473,0.001,1.004450335,0.001,1.821857498,0.001,2.246295239,0.001
104,DCMut+F+I+G4,15397.234,31322.468,31988.753,32421.583,0.694901756,0.001,0.330374988,0.001,1.004512956,0.001,1.021789184,0.001,0.634081915,0.001
105,DCMut+F+R2,15397.510,31323.021,31989.306,32422.136,0.872630566,0.001,0.581812674,0.001,1.00501132,0.001,0.59008183,0.001,1.457598329,0.001
106,DCMut+F+R4,15385.498,31306.996,32006.919,32422.765,0.753918878,0.001,0.560931493,0.001,1.000962439,0.001,0.383019674,0.001,0.804038638,0.001
107,Dayhoff+F+I,15444.734,31415.468,32073.591,32510.420,0.678353482,0.001,0.379715434,0.001,1.004264427,0.001,0.157182792,0.001,0.555704474,0.001
108,Dayhoff+F,15451.448,31426.897,32076.953,32517.685,0.5867447,0.001,0.426806145,0.001,1.00726921,0.001,0.207689213,0.001,0.508130404,0.001
109,DCMut+F+I,15449.768,31425.537,32083.660,32520.488,0.876236121,0.001,0.491994455,0.001,1.009624417,0.001,0.80346967,0.001,1.65194749,0.001
110,DCMut+F,15456.613,31437.226,32087.282,32528.014,0.769801779,0.001,0.281097476,0.001,1.00355567,0.001,0.696525667,0.001,0.762809201,0.001
111,Dayhoff+R3,15705.337,31904.674,32444.375,32933.013,0.737798105,0.001,0.284042105,0.001,1.018384501,0.001,0.703410429,0.001,0.669136554,0.001
112,Dayhoff+G4,15717.123,31922.245,32442.071,32938.094,0.87529121,0.001,0.520763282,0.001,1.000746687,0.001,1.599291084,0.001,2.000328216,0.001
113,DCMut+R3,15709.181,31912.363,32452.063,32940.701,0.770900887,0.001,0.500160091,0.001,1.000751641,0.001,0.125425003,0.001,0.644398781,0.001
114,Dayhoff+R2,15716.276,31922.552,32448.928,32942.565,0.870425387,0.001,0.457380418,0.001,0.999989378,0.001,1.453958577,0.001,1.181482575,0.001
115,Dayhoff+I+G4,15717.142,31924.284,32450.660,32944.296,0.797737464,0.001,0.362724806,0.001,1.022869074,0.001,2.31836613,0.001,1.437238956,0.001
116,Dayhoff+R4,15704.922,31907.843,32461.176,32944.508,0.847709543,0.001,0.442713389,0.001,1.005030744,0.001,0.692441601,0.001,1.30342685,0.001
117,DCMut+G4,15720.795,31929.590,32449.416,32945.439,0.86495029,0.001,0.645965425,0.001,1.018182379,0.001,0.277419647,0.001,1.412486493,0.001
118,DCMut+R2,15720.779,31931.557,32457.933,32951.569,0.822701567,0.001,0.502032925,0.001,1.018000561,0.001,1.47741722,0.001,1.822157585,0.001
119,DCMut+I+G4,15720.799,31931.598,32457.973,32951.610,0.738597744,0.001,0.29749258,0.001,1.002635942,0.001,0.860792363,0.001,0.624503428,0.001
120,DCMut+R4,15708.776,31915.552,32468.885,32952.217,0.817756072,0.001,0.604688737,0.001,1.018587508,0.001,0.161840459,0.001,0.813040499,0.001
121,Dayhoff+I,15783.688,32055.375,32575.201,33071.224,0.657571472,0.001,0.470512041,0.001,1.000002159,0.001,0.467215517,0.001,0.656180705,0.001
122,DCMut+I,15786.494,32060.989,32580.815,33076.838,0.81518582,0.001,0.329330289,0.001,1.017633389,0.001,2.534846561,0.001,1.65095661,0.001
123,Dayhoff,15790.781,32067.562,32580.912,33079.247,0.684542816,0.001,0.489548769,0.001,1.00001056,0.001,0.214110386,0.001,0.472291821,0.001
124,DCMut,15793.683,32073.366,32586.717,33085.052,0.850043288,0.001,0.349764869,0.001,1.004219281,0.001,1.79853536,0.001,1.213688252,0.001